disasterNo,year,seq,group,subgroup_id,type_id,subtype,eventName,country,iso,region_id,continent_id,location,startYear,startMonth,startDay,endYear,endMonth,endDay,totalDeaths,injured,Affected,homeless,totalAffected,damageCost
1970-0013-ARG,1970,13,Natural,Hydrological,Flood,,,Argentina,ARG,SouthAmerica,Americas,Mendoza,1970,1,4,1970,1,4,36,,,,,25000
1970-0109-AUS,1970,109,Natural,Meteorological,Storm,Tropical cyclone,Ada,Australia,AUS,AustraliaandNewZealand,Oceania,Queensland,1970,1,,1970,1,,13,,,,,72475
1970-0063-BGD,1970,63,Natural,Meteorological,Storm,Tropical cyclone,,Bangladesh,BGD,SouthernAsia,Asia,"Khulna, Chittagong",1970,11,12,1970,11,12,300000,,3648000,,3648000,86400
1970-0037-BRA,1970,37,Natural,Hydrological,Flood,,,Brazil,BRA,SouthAmerica,Americas,"Recife, South Pernambuco",1970,7,21,1970,7,21,172,,104371,,104371,46000
1970-0054-BRB,1970,54,Natural,Hydrological,Flood,,,Barbados,BRB,Caribbean,Americas,Entire Isl.,1970,10,2,1970,10,2,3,10,200,,210,500
1970-0061-COL,1970,61,Natural,Hydrological,Flood,,,Colombia,COL,SouthAmerica,Americas,"Magdalena, Cauca Vals",1970,11,,1970,11,,307,,5000000,105000,5105000,138800
1970-0025-CRI,1970,25,Natural,Hydrological,Flood,,,Costa Rica,CRI,CentralAmerica,Americas,"Limao, Cartago provinces",1970,4,9,1970,4,9,23,40,10000,,10040,6000
1970-0066-CRI,1970,66,Natural,Hydrological,Flood,,,Costa Rica,CRI,CentralAmerica,Americas,Estrella Valley,1970,12,4,1970,12,4,1,,5200,,5200,24000
1970-0067-ECU,1970,67,Natural,Geophysical,Earthquake,Ground movement,,Ecuador,ECU,SouthAmerica,Americas,Loja province,1970,12,9,1970,12,9,29,120,60000,27992,88112,4000
1970-0023-ECU,1970,23,Natural,Hydrological,Flood,,,Ecuador,ECU,SouthAmerica,Americas,"Guayas, Emeral, Manabi",1970,4,8,1970,4,8,20,,140500,,140500,500
1970-0028-HUN,1970,28,Natural,Hydrological,Flood,,,Hungary,HUN,EasternEurope,Europe,Tisza,1970,5,1,1970,6,30,300,,,,,85000
1971-0042-CHL,1971,42,Natural,Geophysical,Earthquake,Ground movement,,Chile,CHL,SouthAmerica,Americas,"Valparaiso, Salamnca, Coquimbo",1971,7,9,1971,7,9,85,451,2348522,,2348973,236400
1971-0015-AUS,1971,15,Natural,Hydrological,Flood,Riverine flood,,Australia,AUS,AustraliaandNewZealand,Oceania,"South Wales, Queensland, Victoria",1971,2,9,1971,2,9,27,,,,,20000
1971-0096-AUS,1971,96,Natural,Meteorological,Storm,Tropical cyclone,Althea,Australia,AUS,AustraliaandNewZealand,Oceania,Townsville area (Queensland),1971,12,24,1971,12,24,3,,,,,119219
1971-0027-BRA,1971,27,Natural,Hydrological,Flood,,,Brazil,BRA,SouthAmerica,Americas,Salvador,1971,4,26,1971,4,26,109,2000,11000,,13000,5200
1971-0010-ESP,1971,10,Natural,Meteorological,Extreme temperature ,Cold wave,,Spain,ESP,SouthernEurope,Europe,,1971,1,,1971,1,,400,,,,,100000
1971-0058-IND,1971,58,Natural,Meteorological,Storm,Tropical cyclone,,India,IND,SouthernAsia,Asia,"East coast, Orissa state",1971,10,27,1971,10,27,9658,,4900000,2000000,6900000,30000
1972-0061-DFR,1972,61,Natural,Meteorological,Storm,,,Germany Fed Rep,DFR,WesternEurope,Europe,Lower Saxony,1972,11,12,1972,11,12,54,,,,,420000
1972-0059-FJI,1972,59,Natural,Meteorological,Storm,Tropical cyclone,Bebe,Fiji,FJI,Melanesia,Oceania,Much of nation,1972,10,24,1972,10,24,3,,120000,,120000,22500
1972-0033-HTI,1972,33,Natural,Hydrological,Flood,,,Haiti,HTI,Caribbean,Americas,Les Cayes region,1972,5,20,1972,5,20,78,,40000,,40000,959
